hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0831?ys=2025RS' target='_blank'>HB0831</a>,Carroll County Delegation,Criminal Law - Procedures,Carroll County - Prospective Employees and Volunteers - Criminal History Records Check,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0418?ys=2025RS' target='_blank'>SB0418</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0832?ys=2025RS' target='_blank'>HB0832</a>,Carroll County Delegation,Hunting and Fishing,Carroll County - Natural Resources - Sunday Hunting,Hearing 3/12 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0417?ys=2025RS' target='_blank'>SB0417</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0833?ys=2025RS' target='_blank'>HB0833</a>,Carroll County Delegation,Local Debt (Bond Bills),Carroll County - Public Facilities Bond,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0416?ys=2025RS' target='_blank'>SB0416</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0851?ys=2025RS' target='_blank'>HB0851</a>,Carroll County Delegation,Counties - Local Laws,Carroll County - Office of Permits and Inspections - Denial of Commercial Permit or License for Unpaid Personal Property Taxes,Hearing 3/12 at 1:00 p.m. (Environment and Transportation) and Hearing canceled (Ways and Means),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0415?ys=2025RS' target='_blank'>SB0415</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1118?ys=2025RS' target='_blank'>HB1118</a>,Carroll County Delegation,Education - Local Bills,Carroll County Board of Education - Vacancy Procedures - Alterations,Hearing 3/03 at 11:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0885?ys=2025RS' target='_blank'>SB0885</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0415?ys=2025RS' target='_blank'>SB0415</a>,Carroll County Senators,Counties - Local Laws,Carroll County - Office of Permits and Inspections - Denial of Commercial Permit or License for Unpaid Personal Property Taxes,Hearing 2/05 at 2:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0851?ys=2025RS' target='_blank'>HB0851</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0416?ys=2025RS' target='_blank'>SB0416</a>,Carroll County Senators,Local Debt (Bond Bills),Carroll County - Public Facilities Bond,Hearing 2/05 at 2:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0833?ys=2025RS' target='_blank'>HB0833</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0417?ys=2025RS' target='_blank'>SB0417</a>,Carroll County Senators,Hunting and Fishing,Carroll County - Natural Resources - Sunday Hunting,Hearing 3/04 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0832?ys=2025RS' target='_blank'>HB0832</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0418?ys=2025RS' target='_blank'>SB0418</a>,Carroll County Senators,Criminal Law - Procedures,Carroll County - Prospective Employees and Volunteers - Criminal History Records Check,Returned Passed,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0831?ys=2025RS' target='_blank'>HB0831</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0885?ys=2025RS' target='_blank'>SB0885</a>,Carroll County Senators,Education - Local Bills,Carroll County Board of Education - Vacancy Procedures - Alterations,Hearing 3/26 at 2:15 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1118?ys=2025RS' target='_blank'>HB1118</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0028?ys=2025RS' target='_blank'>HB0028</a>,Delegate Bouchat,Counties - Generally,Constitutional Amendment - Form of County Government - Requirement to Adopt Charter Home Rule,Hearing 1/28 at 2:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0077?ys=2025RS' target='_blank'>HB0077</a>,Delegate Bouchat,"State Government - Agencies, Offices, and Officials",Commission to Study African American Civil War Sailors in Maryland,Unfavorable Report by Health and Government Operations; Withdrawn,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0013?ys=2025RS' target='_blank'>SB0013</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0096?ys=2025RS' target='_blank'>HB0096</a>,Delegate Bouchat,State Government - General Assembly,"General Assembly - Membership, Election Timing for State Senators, and Eligibility",Hearing 3/10 at 3:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0203?ys=2025RS' target='_blank'>HB0203</a>,Delegate Bouchat,Elections,Districting - Single-Member Districts and Legislative and Congressional Redistricting and Apportionment Convention,Hearing 3/10 at 3:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0278?ys=2025RS' target='_blank'>HB0278</a>,Delegate Bouchat,Taxes - Income,Income Tax - Subtraction Modification - Enhanced Agricultural Management Equipment,Hearing 1/23 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0890?ys=2025RS' target='_blank'>HB0890</a>,Delegate Bouchat,Elections,Election Law - Primary Elections - Change of Political Party Affiliation,Hearing 2/18 at 1:00 p.m.,None
