hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0157?ys=2025RS' target='_blank'>HB0157</a>,Delegate Griffith,Primary and Secondary Education,Education - Safe Schools Fund - Grant Allocations,Hearing 1/28 at 1:30 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0136?ys=2025RS' target='_blank'>SB0136</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0248?ys=2025RS' target='_blank'>HB0248</a>,Delegate Griffith,Vehicle Laws - Licensing and Regulation,Motor Vehicle Registration - Fee Exemption - Unemployable Disabled Veterans,Hearing 1/30 at 1:30 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0179?ys=2025RS' target='_blank'>SB0179</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0792?ys=2025RS' target='_blank'>HB0792</a>,Delegate Griffith,Taxes - Income,Income Tax - Subtraction Modification - Public Safety Employee Retirement Income,Hearing 2/13 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0030?ys=2025RS' target='_blank'>SB0030</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0800?ys=2025RS' target='_blank'>HB0800</a>,Delegate Griffith,Taxes - Income,Income Tax - Subtraction Modification for Military Retirement Income - Individuals Under the Age of 55,Hearing 2/13 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0809?ys=2025RS' target='_blank'>HB0809</a>,Delegate Griffith,Family Law,Out-of-Home Placement Providers - Maximum Number of Children - Exemption,First Reading Appropriations,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0382?ys=2025RS' target='_blank'>HB0382</a>,"Delegate Johnson, S.",Health - Insurance,"Maryland Medical Assistance Program and Health Insurance - Step Therapy, Fail-First Protocols, and Prior Authorization - Prescription to Treat Serious Mental Illness",Hearing 1/30 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0111?ys=2025RS' target='_blank'>SB0111</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0421?ys=2025RS' target='_blank'>HB0421</a>,"Delegate Johnson, S.",Public Safety,Public Safety - 9-1-1 Trust Fund - 9-8-8 Suicide Prevention Hotline,Hearing 2/11 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0036?ys=2025RS' target='_blank'>SB0036</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0763?ys=2025RS' target='_blank'>HB0763</a>,"Delegate Johnson, S.",Primary and Secondary Education,Education - Sexual Abuse and Assault Awareness and Prevention Program - Human and Sex Trafficking,First Reading Ways and Means,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0768?ys=2025RS' target='_blank'>HB0768</a>,"Delegate Johnson, S.",Local Government - Generally,Municipal Incorporation - County Commissioners or County Council - Required Approval of Referendum Request,First Reading Environment and Transportation,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0546?ys=2025RS' target='_blank'>SB0546</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0813?ys=2025RS' target='_blank'>HB0813</a>,"Delegate Johnson, S.",Health - Insurance,Pharmacy Benefits Administration - Maryland Medical Assistance Program and Pharmacy Benefits Managers,First Reading Health and Government Operations,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0438?ys=2025RS' target='_blank'>SB0438</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0712?ys=2025RS' target='_blank'>HB0712</a>,Harford County Delegation,Alcoholic Beverages - Local Bills,Harford County - Alcoholic Beverages - Multiple Licenses - Golf Simulator Facilities,First Reading Economic Matters,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0714?ys=2025RS' target='_blank'>HB0714</a>,Harford County Delegation,Alcoholic Beverages - Local Bills,Harford County - Alcoholic Beverages - Performing Arts Nonprofit Organization License - Record-Keeping Requirements,First Reading Economic Matters,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0715?ys=2025RS' target='_blank'>HB0715</a>,Harford County Delegation,Alcoholic Beverages - Local Bills,Harford County - Alcoholic Beverages - Alteration of License Quota,First Reading Economic Matters,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0754?ys=2025RS' target='_blank'>HB0754</a>,Harford County Delegation,Alcoholic Beverages - Local Bills,Harford County - Alcoholic Beverages - Hearing Notice,First Reading Economic Matters,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0146?ys=2025RS' target='_blank'>SB0146</a>,Senator James,Criminal Law - Procedures,Criminal Procedure - Admission of Out-of-Court Statements - Assault in the Second Degree,Hearing 1/16 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0281?ys=2025RS' target='_blank'>HB0281</a>
