hyperlinked_billnum,sponsor,broad_subject_name,title,current_status,hyperlinked_xfile
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0017?ys=2025RS' target='_blank'>HB0017</a>,Delegate Atterbeary,Gaming,Internet Gaming - Authorization and Implementation,Hearing 2/10 at 11:00 a.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0161?ys=2025RS' target='_blank'>HB0161</a>,Delegate Atterbeary,Primary and Secondary Education,Primary and Secondary Education - Comprehensive Health Education Framework - Established,Hearing 3/20 at 1:00 p.m.,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0620?ys=2025RS' target='_blank'>HB0620</a>,Delegate Atterbeary,Primary and Secondary Education,Primary and Secondary Education - Reportable Offense - Alteration,Hearing 2/25 at 1:00 p.m. (Ways and Means),None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0633?ys=2025RS' target='_blank'>HB0633</a>,Delegate Atterbeary,Gaming,Gaming - Slot Machines - Skills-Based Amusement Devices,Third Reading Passed (135-3),<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0667?ys=2025RS' target='_blank'>SB0667</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0689?ys=2025RS' target='_blank'>HB0689</a>,Delegate Atterbeary,Public Health,Maryland Medical Assistance Program – Use of Reimbursement Funds by Schools,Hearing 2/25 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0506?ys=2025RS' target='_blank'>SB0506</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0782?ys=2025RS' target='_blank'>HB0782</a>,Delegate Atterbeary,Primary and Secondary Education,Study on Detecting Deadly Weapons in Public Middle and High Schools,Second Reading Passed with Amendments,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0790?ys=2025RS' target='_blank'>HB0790</a>,Delegate Atterbeary,Taxes - Property,Property Tax - Payment Plans - Notice to Taxpayers,First Reading Budget and Taxation,None
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1103?ys=2025RS' target='_blank'>HB1103</a>,Delegate Atterbeary,Taxes - Miscellaneous - Local,Local Government - Accommodations Intermediaries - Hotel Rental Tax Collection by Comptroller,Hearing 2/24 at 11:00 a.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0979?ys=2025RS' target='_blank'>SB0979</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0525?ys=2025RS' target='_blank'>HB0525</a>,Delegate Feldmark,Elections,Election Law - Influence on a Voter's Voting Decision By Use of Fraud - Prohibition,Hearing 2/04 at 1:00 p.m.,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0361?ys=2025RS' target='_blank'>SB0361</a>
<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0546?ys=2025RS' target='_blank'>HB0546</a>,Delegate Feldmark,Taxes - Miscellaneous,Digital Advertising Gross Revenues Tax - Assessments - Appeals and Corrections,First Reading Budget and Taxation,<a href='https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0605?ys=2025RS' target='_blank'>SB0605</a>
